asset_id,name,category,station_id,status,last_inspection_date,next_maintenance_date,latitude,longitude
AST-0001,Generator #1,Power,MTR,Operational,2026-03-29,2026-08-23,-70.7705,11.72776
AST-0002,Generator #2,Power,MTR,Operational,2026-03-04,2026-07-24,-70.75816,11.72504
AST-0003,Snow Vehicle (Piston Bully) #1,Vehicle,MTR,Operational,2026-05-23,2026-09-06,-70.77163,11.73341
AST-0004,Snow Vehicle (Piston Bully) #2,Vehicle,MTR,Operational,2026-09-02,2027-03-12,-70.76197,11.73169
AST-0005,Satellite Comms Unit #1,Communication,MTR,Maintenance,2026-05-17,2027-01-04,-70.77587,11.73942
AST-0006,Fuel Storage Tank #1,Power,MTR,Operational,2026-03-14,2027-01-14,-70.77289,11.74244
AST-0007,Fuel Storage Tank #2,Power,MTR,Operational,2026-06-14,2026-11-03,-70.77407,11.74025
AST-0008,Fuel Storage Tank #3,Power,MTR,Maintenance,2026-04-07,2026-11-18,-70.76141,11.73402
AST-0009,Weather Balloon Launcher #1,Scientific,MTR,Operational,2026-01-15,2026-10-25,-70.77014,11.73587
AST-0010,Water Desalination Unit #1,Utility,MTR,Operational,2026-01-25,2026-10-27,-70.76191,11.72422
AST-0011,Medical Ward Freezer #1,Medical,MTR,Missing,2026-07-12,2027-03-07,-70.75889,11.74063
AST-0012,Battery Bank (Solar) #1,Power,MTR,Operational,2026-06-03,2027-01-21,-70.75932,11.72655
AST-0013,Battery Bank (Solar) #2,Power,MTR,Operational,2026-06-10,2026-12-24,-70.76196,11.73697
AST-0014,Spare Filter Cartridge Set #1,Maintenance,MTR,Operational,2026-08-21,2027-02-14,-70.7711,11.73255
AST-0015,Spare Filter Cartridge Set #2,Maintenance,MTR,Operational,2026-07-01,2027-01-19,-70.75914,11.73882
AST-0016,Spare Filter Cartridge Set #3,Maintenance,MTR,Maintenance,2026-07-12,2026-10-26,-70.76798,11.72462
AST-0017,Spare Filter Cartridge Set #4,Maintenance,MTR,Operational,2026-01-18,2026-09-26,-70.76602,11.74099
AST-0018,GPS Tracking Beacon #1,Navigation,MTR,Operational,2026-03-28,2027-02-15,-70.77321,11.7382
AST-0019,GPS Tracking Beacon #2,Navigation,MTR,Operational,2026-04-24,2026-12-04,-70.76743,11.73497
AST-0020,GPS Tracking Beacon #3,Navigation,MTR,Missing,2026-06-08,2026-12-27,-70.77323,11.73317
