log_id,station_id,item_name,date,quantity_used,unit,active_headcount,temperature_c
LOG-000001,MTR,Diesel Fuel,2026-05-16,359.92,litres,26,-0.4
LOG-000002,MTR,Propane (LPG),2026-05-16,32.49,kg,26,-0.4
LOG-000003,MTR,Medical Oxygen,2026-05-16,1.24,cylinders,26,-0.4
LOG-000004,MTR,Medical Kit Supplies,2026-05-16,1.61,units,26,-0.4
LOG-000005,MTR,Dry Rations,2026-05-16,25.09,kg,26,-0.4
LOG-000006,MTR,Frozen Rations,2026-05-16,23.92,kg,26,-0.4
LOG-000007,MTR,Potable Water Treatment Tablets,2026-05-16,3.06,units,26,-0.4
LOG-000008,MTR,Spare Batteries (AA/Lithium),2026-05-16,2.37,units,26,-0.4
LOG-000009,MTR,Diesel Fuel,2026-05-17,298.07,litres,24,0.0
LOG-000010,MTR,Propane (LPG),2026-05-17,23.98,kg,24,0.0
LOG-000011,MTR,Medical Oxygen,2026-05-17,1.15,cylinders,24,0.0
LOG-000012,MTR,Medical Kit Supplies,2026-05-17,2.16,units,24,0.0
LOG-000013,MTR,Dry Rations,2026-05-17,29.9,kg,24,0.0
LOG-000014,MTR,Frozen Rations,2026-05-17,22.18,kg,24,0.0
LOG-000015,MTR,Potable Water Treatment Tablets,2026-05-17,3.04,units,24,0.0
LOG-000016,MTR,Spare Batteries (AA/Lithium),2026-05-17,3.09,units,24,0.0
LOG-000017,MTR,Diesel Fuel,2026-05-18,236.79,litres,23,0.4
LOG-000018,MTR,Propane (LPG),2026-05-18,18.93,kg,23,0.4
LOG-000019,MTR,Medical Oxygen,2026-05-18,0.78,cylinders,23,0.4
LOG-000020,MTR,Medical Kit Supplies,2026-05-18,1.38,units,23,0.4
LOG-000021,MTR,Dry Rations,2026-05-18,29.15,kg,23,0.4
LOG-000022,MTR,Frozen Rations,2026-05-18,17.02,kg,23,0.4
LOG-000023,MTR,Potable Water Treatment Tablets,2026-05-18,4.19,units,23,0.4
LOG-000024,MTR,Spare Batteries (AA/Lithium),2026-05-18,3.15,units,23,0.4
LOG-000025,MTR,Diesel Fuel,2026-05-19,195.41,litres,24,0.8
LOG-000026,MTR,Propane (LPG),2026-05-19,21.98,kg,24,0.8
LOG-000027,MTR,Medical Oxygen,2026-05-19,0.72,cylinders,24,0.8
LOG-000028,MTR,Medical Kit Supplies,2026-05-19,2.24,units,24,0.8
LOG-000029,MTR,Dry Rations,2026-05-19,30.88,kg,24,0.8
LOG-000030,MTR,Frozen Rations,2026-05-19,17.08,kg,24,0.8
LOG-000031,MTR,Potable Water Treatment Tablets,2026-05-19,3.94,units,24,0.8
LOG-000032,MTR,Spare Batteries (AA/Lithium),2026-05-19,2.16,units,24,0.8
LOG-000033,MTR,Diesel Fuel,2026-05-20,269.65,litres,27,1.2
LOG-000034,MTR,Propane (LPG),2026-05-20,22.05,kg,27,1.2
LOG-000035,MTR,Medical Oxygen,2026-05-20,1.25,cylinders,27,1.2
LOG-000036,MTR,Medical Kit Supplies,2026-05-20,1.7,units,27,1.2
LOG-000037,MTR,Dry Rations,2026-05-20,30.57,kg,27,1.2
LOG-000038,MTR,Frozen Rations,2026-05-20,26.82,kg,27,1.2
LOG-000039,MTR,Potable Water Treatment Tablets,2026-05-20,2.8,units,27,1.2
LOG-000040,MTR,Spare Batteries (AA/Lithium),2026-05-20,2.96,units,27,1.2
LOG-000041,MTR,Diesel Fuel,2026-05-21,309.28,litres,25,1.6
LOG-000042,MTR,Propane (LPG),2026-05-21,24.71,kg,25,1.6
LOG-000043,MTR,Medical Oxygen,2026-05-21,0.95,cylinders,25,1.6
LOG-000044,MTR,Medical Kit Supplies,2026-05-21,1.89,units,25,1.6
LOG-000045,MTR,Dry Rations,2026-05-21,26.35,kg,25,1.6
LOG-000046,MTR,Frozen Rations,2026-05-21,20.77,kg,25,1.6
LOG-000047,MTR,Potable Water Treatment Tablets,2026-05-21,3.14,units,25,1.6
LOG-000048,MTR,Spare Batteries (AA/Lithium),2026-05-21,3.02,units,25,1.6
LOG-000049,MTR,Diesel Fuel,2026-05-22,255.75,litres,23,2.0
LOG-000050,MTR,Propane (LPG),2026-05-22,29.53,kg,23,2.0
LOG-000051,MTR,Medical Oxygen,2026-05-22,0.93,cylinders,23,2.0
LOG-000052,MTR,Medical Kit Supplies,2026-05-22,2.23,units,23,2.0
LOG-000053,MTR,Dry Rations,2026-05-22,27.48,kg,23,2.0
LOG-000054,MTR,Frozen Rations,2026-05-22,15.61,kg,23,2.0
LOG-000055,MTR,Potable Water Treatment Tablets,2026-05-22,3.29,units,23,2.0
LOG-000056,MTR,Spare Batteries (AA/Lithium),2026-05-22,3.33,units,23,2.0
LOG-000057,MTR,Diesel Fuel,2026-05-23,293.47,litres,25,2.4
LOG-000058,MTR,Propane (LPG),2026-05-23,29.95,kg,25,2.4
LOG-000059,MTR,Medical Oxygen,2026-05-23,0.59,cylinders,25,2.4
LOG-000060,MTR,Medical Kit Supplies,2026-05-23,2.38,units,25,2.4
LOG-000061,MTR,Dry Rations,2026-05-23,27.57,kg,25,2.4
LOG-000062,MTR,Frozen Rations,2026-05-23,21.67,kg,25,2.4
LOG-000063,MTR,Potable Water Treatment Tablets,2026-05-23,3.32,units,25,2.4
LOG-000064,MTR,Spare Batteries (AA/Lithium),2026-05-23,2.99,units,25,2.4
LOG-000065,MTR,Diesel Fuel,2026-05-24,236.62,litres,27,2.8
LOG-000066,MTR,Propane (LPG),2026-05-24,28.41,kg,27,2.8
LOG-000067,MTR,Medical Oxygen,2026-05-24,1.3,cylinders,27,2.8
LOG-000068,MTR,Medical Kit Supplies,2026-05-24,2.26,units,27,2.8
LOG-000069,MTR,Dry Rations,2026-05-24,34.05,kg,27,2.8
LOG-000070,MTR,Frozen Rations,2026-05-24,22.85,kg,27,2.8
LOG-000071,MTR,Potable Water Treatment Tablets,2026-05-24,3.51,units,27,2.8
LOG-000072,MTR,Spare Batteries (AA/Lithium),2026-05-24,2.83,units,27,2.8
LOG-000073,MTR,Diesel Fuel,2026-05-25,225.93,litres,23,3.1
LOG-000074,MTR,Propane (LPG),2026-05-25,21.3,kg,23,3.1
LOG-000075,MTR,Medical Oxygen,2026-05-25,1.0,cylinders,23,3.1
LOG-000076,MTR,Medical Kit Supplies,2026-05-25,1.85,units,23,3.1
LOG-000077,MTR,Dry Rations,2026-05-25,23.66,kg,23,3.1
LOG-000078,MTR,Frozen Rations,2026-05-25,17.86,kg,23,3.1
LOG-000079,MTR,Potable Water Treatment Tablets,2026-05-25,3.85,units,23,3.1
LOG-000080,MTR,Spare Batteries (AA/Lithium),2026-05-25,2.33,units,23,3.1
LOG-000081,MTR,Diesel Fuel,2026-05-26,286.87,litres,24,3.5
LOG-000082,MTR,Propane (LPG),2026-05-26,23.29,kg,24,3.5
LOG-000083,MTR,Medical Oxygen,2026-05-26,0.96,cylinders,24,3.5
LOG-000084,MTR,Medical Kit Supplies,2026-05-26,1.94,units,24,3.5
LOG-000085,MTR,Dry Rations,2026-05-26,22.5,kg,24,3.5
LOG-000086,MTR,Frozen Rations,2026-05-26,23.54,kg,24,3.5
LOG-000087,MTR,Potable Water Treatment Tablets,2026-05-26,2.96,units,24,3.5
LOG-000088,MTR,Spare Batteries (AA/Lithium),2026-05-26,1.95,units,24,3.5
LOG-000089,MTR,Diesel Fuel,2026-05-27,213.22,litres,24,3.8
LOG-000090,MTR,Propane (LPG),2026-05-27,19.87,kg,24,3.8
LOG-000091,MTR,Medical Oxygen,2026-05-27,1.19,cylinders,24,3.8
LOG-000092,MTR,Medical Kit Supplies,2026-05-27,1.93,units,24,3.8
LOG-000093,MTR,Dry Rations,2026-05-27,28.98,kg,24,3.8
LOG-000094,MTR,Frozen Rations,2026-05-27,18.77,kg,24,3.8
LOG-000095,MTR,Potable Water Treatment Tablets,2026-05-27,4.53,units,24,3.8
LOG-000096,MTR,Spare Batteries (AA/Lithium),2026-05-27,2.58,units,24,3.8
LOG-000097,MTR,Diesel Fuel,2026-05-28,285.12,litres,26,4.2
LOG-000098,MTR,Propane (LPG),2026-05-28,24.61,kg,26,4.2
